"License.Se","License.Ty","License.Cl","License._1","Agency.Zon","Agency.Z_1","County.Nam","Premises.N","Doing.Busi","Actual.Add","Additional","City","State","Zip","License.Ce","License.Or","License.Ef","License.Ex","Latitude","Longitude","Location","BoroCode","BoroName","CountyFIPS","NTACode","NTAName","Shape_Leng","Shape_Area","coords.x1","coords.x2"
1272222,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","J & O LLC","LA GLORIA","8611 NORTHERN BLVD",NA,"JACKSON HEIGHTS","NY",11372,832436,"11/01/2013","11/01/2015","10/31/2017",40.75601288,-73.88154621,"(40.75601288, -73.88154621)",4,"Queens","081","QN28","Jackson Heights",29422.7922879,47854896.0415,1017067.3591696,214734.762190125
1272225,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","GOOD VISION TASTE INC","SIGNATURE & FABERGE","2007 2011 EMMONS AVE",NA,"BROOKLYN","NY",11235,851232,"09/17/2013","09/01/2015","08/31/2017",40.58373958,-73.94833799,"(40.58373958, -73.94833799)",3,"Brooklyn","047","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",91048.3498153,63342329.8713,998599.864764018,151952.72890116
1040497,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"QUEENS","7006 ROOSEVELT FOOD CORP","EL PADRINO II","7006 ROOSEVELT AVE",NA,"JACKSON HEIGHTS","NY",11377,856301,"12/02/1999","12/01/2015","11/30/2017",40.74638406,-73.89584321,"(40.74638406, -73.89584321)",4,"Queens","081","QN63","Woodside",27872.1859801,28245720.1891,1013110.58036535,211221.64176951
1146072,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"BRONX","KLASSIQUE BAR & LOUNGE INC",NA,"3813 BOSTON ROAD","BAYCHESTER AVE & DEREIMER AVE","BRONX","NY",10466,856572,"02/27/2004","02/01/2016","01/31/2018",40.88154371,-73.83831108,"(40.88154371, -73.83831108)",2,"Bronx","005","BX03","Eastchester-Edenwald-Baychester",59165.0047535,40256749.181,1028961.12462257,260489.25652324
1288943,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","JAX HOLDINGS CORP","BAIA","8402 3RD AVE",NA,"BROOKLYN","NY",11209,852200,"12/16/2015","12/16/2015","11/30/2017",40.62494,-74.03063,"(40.62494, -74.03063)",3,"Brooklyn","047","BK31","Bay Ridge",44405.6395723,67117794.1869,975747.326215276,166960.359146497
1234752,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"RICHMOND","JOE'S OF AVENUE U INC","VILLA PARADISO","145 GREAVES LANE",NA,"STATEN ISLAND","NY",10308,831123,"03/09/2010","01/30/2015","02/29/2016",40.55406821,-74.1447764,"(40.55406821, -74.1447764)",5,"Staten Island","085","SI54","Great Kills",66103.798819,89599706.5677,944018.426708467,141171.734752766
1234725,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","RECETTE LLC","RECETTE","328 W 12TH STREET","WEST 12TH ST & GREENWICH ST","NEW YORK","NY",10014,855634,"01/05/2010","01/01/2016","12/31/2017",40.73748932,-74.00652986,"(40.73748932, -74.00652986)",1,"Manhattan","061","MN23","West Village",29385.0304235,25000526.3287,982440.413176706,207963.914384396
1027937,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","SANDBAR CONCESSIONS INC","RICHARD ROGERS THEATRE","226 W 46TH STREET",NA,"NEW YORK","NY",10036,842219,NA,"12/01/2014","11/30/2016",40.75885507,-73.98589228,"(40.75885507, -73.98589228)",1,"Manhattan","061","MN17","Midtown-Midtown South",27035.7381234,30192056.8923,988158.346865722,215748.390682245
1234694,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"NEW YORK","GOD SAVE THE KING LLC","PROVOCATEUR NIGHT CLUB","18 9TH AVENUE STORE NO 2","LITTLE W 12TH ST & W 13TH ST","NEW YORK","NY",10014,856305,"12/17/2009","12/01/2015","11/30/2017",40.74013912,-74.00586829,"(40.74013912, -74.00586829)",1,"Manhattan","061","MN23","West Village",29385.0304235,25000526.3287,982623.815373138,208929.307379007
1012222,"ON-PREMISES LIQUOR",252,"OP","New York City",1,"KINGS","1272 BROADWAY PUB INC","ST LUCIAN PARADISE","1272 BROADWAY",NA,"BROOKLYN","NY",11221,850595,NA,"07/01/2015","06/30/2017",40.69099134,-73.92480564,"(40.69099134, -73.92480564)",3,"Brooklyn","047","BK35","Stuyvesant Heights",28239.0810105,31406935.9663,1005102.76923718,191032.168191829
